text,true_class,predicted_class,confidence,text_length,word_count
"﻿काठमाडौं—गैरआवासीय नेपाली संघ (एनआरएनए) का आइसीसी सदस्य अनुज थापालाई महानगरीय प्रहरी परिसरले काठमाडौंबाट पक्राउ गरेको छ। एनआरएनएको आठौं ग्लोबल सम्बेलनमा सहभागी हुन काठमाडाैं आएका उनलाई ७ करोड रुपैयाँ ठगी अभियोगमा प्रहरीले पक्राउ गरी हिरासतमा लिएको हो। एनअारएन जापानकाे पछिल्लाे निर्वाचनमा उनी सहमतिबाट अाइसीसी सदस्य चयन भएका थिए। गैरअावासीय नेपाली संघमा अाइसीसी सदस्य भनेको केन्द्रीय सदस्यको पद हो। एनआरएन सम्मेलनमा थापा नेपाल आएको जानकारी पाएपछि उनी पनि नेपाल आएर थापाविरुद्ध नेपाल प्रहरीमा उजुरी दिएका थिए। महानगरीय प्रहरी परिसरका एसएसपी रवीन्द्र धानुकका अनुसार उनीविरुद्ध ठगी अभियोगमा काठमाडौं जिल्ला अदालतबाट न्यायिक हिरासतमा राख्ने अनुमती लिई ठगी अभियोगमा अनुसन्धान भइरहेको छ। थापाले जापानमा रहेको एउटा विश्व विद्यालयको शाखा नेपालमा खोल्छु भनेर एक प्रोफेसरसँग ७ करोड नेपाली रुपैयाँ लिएका थिए। सो रकम नेपालमा विश्वविद्यालयको शाखा नखोली उनले निजी घर र गाडी किन्न प्रयोग गरेका थिए। त्यही घर धितो राखेर थापाले बैंकबाट ऋण निकालेका थिए। २०७२ को भूकम्पले उनको घर चर्किएपछि फेरि मर्मतका लागि भन्दै बैंकबाट अर्को किस्ता ऋण झिकेका थिए। नेपालमा विश्वविद्यालयको शाखा खोल्न पैसा दिएको वर्षौं बितिसक्दा पनि कुनै प्रगति भएको नेदेखेपछि उनलाई पैसा उपलब्ध गराउने जापानी प्राध्यापकले थापासँग पैसा फिर्ता मागेका थिए। जापानमा पैसा फिर्ता मागेपछि उनी लामो समय नेपालमै बस्न थालेका थिए। अाफू नेपाल बस्न थालेपछि उनले टाेकियको रेष्टुराँ ठेक्कामा लगाएका थिए। गैरअावासीय नेपाली संघ जापानकाे पछिल्लाे निर्वाचनमा थापा अध्यक्ष प्रत्यासी बनेका थिए। धेरै समय नेपालमा बस्ने मान्छे नेतृत्वमा रहँदा काममा असर पर्ने भन्ने अावाज उठेपछि सहमतिमा नेतृत्व चयन गर्दा उनी अाइसीसी सदस्य निर्विराेध निर्वाचित भएका थिए। त्यस अघि उनी एनअारएन जापानकाे महासचिव पदमा थिए। पक्राउ परेका थापा नेपाल पर्यटन बाेर्डका जापानस्थित पर्यटन प्रतिनिधि पनि हुन्। एनआरएन सम्मेलनका लागि थापा नेपाल आएको जानकारी पाएपछि जापानी प्राेफेसर काठमाडाैं अाएर प्रहरीमा ठगी उजुरी दर्ता गराएका थिए। महानगरीय प्रहरी परिसरका एसएसपी रवीन्द्र धानुकका अनुसार उनीविरुद्ध ठगी अभियोगमा काठमाडौं जिल्ला अदालतबाट न्यायिक हिरासतमा राख्ने अनुमती लिई ठगी अभियोगमा अनुसन्धान भइरहेको छ। 'ठगी अभियोगमा बिहीबार पक्राउ परेका थापालाइ अदालतबाट म्याद लिएर थुनामा राखिएको छ। उनको ठगीबारे प्रहरीले अनुसन्धान गरिरहेको छ', एसएसपी धानुकले भने। अनुसन्धानमा संलग्न एक प्रहरी अधिकृतका अनुसार थापाले ठगी धन्दाकाे अनुसन्धानमा प्रहरीलाइ असहयोग गरिरहेका छन्। आफू नेपाली सेनाको कर्नेलको छोरा भएको र माथिसम्मै पहुँच भएको बताउँदै उनले प्रहरीलाई धम्क्याउने गरेका ती प्रहरी अधिकृतले नागरिकन्युजलाइ बताए।",Society,Migration,0.9917367,2393,350
"﻿वीरगञ्ज, ५ असोज । वीरगञ्जमा भव्यताका साथ विश्व शान्ति दिवस मानइएको छ । अन्तर्राष्ट्रिय शान्ति दिवसको उपलक्ष्यमा स्थानीय शान्ति समिति पर्साले शान्ति दिवसको उपलक्ष्यमा आयोजना गरेको कार्यक्रममा मङ्गलबार बिहान वीरगञ्जको घन्टाकरबाट प्रभातफेरी गरी माइस्थानमा कोणसभा गरिएको थियो । कार्यक्रममा शान्ति समितिका संयोजक प्रदिप यादव र पर्साका प्रमुख जिल्ला अधिकारी केशवराज घिमिरेले शान्तिको प्रतिक दुइ जोड परेवालाई उडाएर विश्वमा स्थायी शान्तिको कामना गरेका थिए । साथै कोणसभामा सम्बोधन गर्दै संयोजक प्रदिप यादवले शान्तिपूर्ण मैत्री वातावरण बनाउन सरकरले विशेष पहल गर्नुपर्ने आवश्यकता रहेको बताएका थिए । उनले शोषित पीडितको नाउमा जनयुद्ध गरेको माओवादी सरकारको नेतृत्व गरेपनि जनयुद्धका पीडितहरुले क्षतिपूर्ति पाउन नसकिनु बिडम्बना भएको बताउँदै पर्साको झबरावासीलाई अबिलम्ब क्षतिपूर्ति दिन अनुरोध गरे । नेता यादवले जनयुद्धको समयमा माओवादीको नाममा पर्साको झबराहामा भएको झडपका पीडितहरुले अहिलेसम्म क्षतिपूर्ति नपाउनु बिडम्बना भएको बताएका थिए । साथै उनले विगत २ सय बर्षदेखि शोषित पीडितहरुले संविधानमा अधिकार नपाएसम्म मुलुकमा स्थायी शान्ति नआउने बताउँदै संविधान संशोधन गरेर मधेसी, जनजाती, मुस्लिम, दलीत सबैको अधिकार सुनिश्चित गर्ने तर्फ विशेष पहल गर्न सरकारसँग माग समेत गरे । कार्यक्रममा पर्साका प्रमुख जिल्ला अधिकारी केशवराज घिमिरेले शान्तिबाट नै मुलकको विकास हुने बताउँदै सबैले समुदाय र दलहरुले स्थायी शान्तिको लागी विशेष पहलगर्नु पर्ने बताए । शान्ति समितिका संयोजक प्रदिप यादवको नेतृत्वमा सम्पन्न भएको कार्यक्रममा प्रमुख जÞिल्ला अधिकारी केशव राज घिमिरेलगायत विभिन्न सुरक्षा निकायका प्रमुख तथा सद्भानापार्टीका महासचिव शिव पटेल, प्रेमबाबु पटेललगायत विभिन्न राजनीतिक दलका प्रतिनिधी, पत्रकार समाजसेवी लगायतका उपसिथती रहेका थिए ।",World,Politics,0.9887058,1603,227
"﻿ २८ साउन, गुल्मी । स्थानीय उत्पादनलाई प्रोत्साहन गर्न भन्दै गुल्मीमा कोशेली घरको नयाँ साे-रुम सुचारु भएको भएको छ । कोशेली घर सहकारी संस्थाद्धारा सञ्चालित कोशेली घर पसलमा स्थानीयस्तरमा घरेलु तथा साना उद्यमीहरुले उत्पादन गरेका विभिन्न बस्तुहरुलाई बजार उपलब्ध गराइने छ । सदरमुकाम तम्घासको पुतलीबजारमा कोशेली घरको साे-रुमको गुल्मीका पमुख जिल्ला अधिकारी उदय रानाले उद्घाटन गरे । साे-रुमको उद्घाटन गर्दै प्रमुख जिल्ला अधिकारी रानाले जिल्लामा घरेलु तथा साना उद्यमीले उत्पादन गरेर बजार नपाएका त्यस्ता बहुमुल्य सामाग्रीहरुलाई बिक्री बितरण गर्न यो घरले ठुलो सहयोग गर्ने बताए । घरेलु उद्यमीहरुले उत्पादन गरेका वस्तुलाई कहाँ लगेर बेच्ने भन्ने समस्या पनि हट्ने उनको भनाइ थियो । स्थानीयस्तरमा उत्पादन भएका घरेलु सामाग्रीहरुको बिक्री बितरण गरेर घरेलु साना उद्यामीहरुको जीवनस्तरमा परिर्वतन ल्याउन यसले मुख्य भूमिका खेल्नेमा आफु विश्वस्त रहेको प्रजिअ रानाले बताए । तीन वर्ष पहिलेबाट गुल्मीमा कोशेली घरको स्थापन भएपनि व्यवस्थित रुपमा भने घरेलु तथा साना उद्यामीहरुबाट उत्पादित सामाग्रीहरुको विक्री बितरण भएको थिएन । केहि उद्यमीहरुबाट उत्पादित सामाग्रीहरु कोशेली घरले बिक्री बितरण गरेपनि व्यवस्थित रुपमा भने सञ्चालनमा आउन सकेको थिएन । कोशेली घरमा जिल्लामा स्थानिय स्तरमा घरेलु तथा साना उद्यमीहरुले उत्पादन गरेका सेरामिक्सका सामाग्री, वाँसबाट बनेका सामाग्री,क्रिष्टलका गहना, हातले बुनेका सुइटर झोला लगायत बिभिन्न सामाग्रीहरु, गिफ्टका सामाग्रीहरु र घरेलु उत्पादित विभिन्न खाद्य सामाग्रीहरु पाइने कोशेली घर सहकारी संस्थाका सचिव हरि पोखरेलले जानकारी दिए । साना उद्यमीहरुले घरमै बसेर उत्पादन गरेका बिभिन्न वस्तुहरुलाई यो घरले बिक्री बितरण गर्न मद्दत गरेर साना उद्यमीहरुलाई आत्मनिर्भर बन्न प्रेरित गर्न पनि यसले मद्धत गर्ने पोखरेलले बताए । बिदेशी उत्पादन भन्दा स्वदेशी तथा स्थानीय स्तरमा उत्पादन भएका सामाग्रीहरुको प्रयोग गर्न उनले जोड दिए ।",Tourism,Economy,0.9870996,1716,253
﻿अन्तर्राष्ट्रिय क्रिकेट परिषद (आइसीसी)बाट निलम्बनमा परेपछि विवादमा रुमल्लिइरहेको नेपाली क्रिकेट थप अन्योलमा धकेलिएको छ। १९८८ मा एफिलिएट सदस्य हुँदै आइसीसीसँग आबद्ध नेपाली क्रिकेट प्रशासनले भोगेको यो अहिलेसम्मको सबभन्दा ठूलो कारबाही हो। नागरिक दैनिकमा समाचार छ। आइसीसीले सोमबार सरकारी हस्तक्षेपको कारण देखाउँदै नेपाली क्रिकेट संघ (क्यान)लार्इ निलम्बन गरेको थियो। विवाद समाधान नगरेसम्म भन्दै आइसीसीले क्यानमाथि निलम्बन निर्णय गर्दा अन्तर्राष्ट्रिय सहभागिता भने नरोक्ने प्रस्ट पारेको ...,Entertainment,Sports,0.9865694,485,64
"﻿ १३ भदौ, काठमाडौं । रिलायबल डेभलपमेन्ट बैंकले चार चक्के सवारी साधन अर्थात् हायर पर्चेज कर्जामा विशेष योजना ल्याएको छ्र । बैंकले अटो मेलालाई लक्षित गर्दै यो योजना ल्याएको हो । कार, बस, ट्रक, क्रेन, डोजर, ट्यांकर, एक्स्काभेटरलगायत निजी तथा सार्वजनिक सवारीसाधन खरिदका लागि सरलरुपमा कर्जा उपलब्ध गराउने बैंकले जनाएको छ । त्यसका लागि बैंकले ९ प्रतिशत व्याज लिने जनाएको छ । बैंकका १७ शाखाबाट कागजात पेश गरेको पाँच दिनभित्र कर्जा उपलब्ध गराउने बैंकले दाबी गरेको छ ।",Automobiles,Bank,0.9852228,459,78
"﻿ १२ साउन, पोखरा । कास्की भरतपोखरीका सुदनराज अधिकारी सुन्तलाको उत्पादन घट्न थालेपछि पाउलोनियातर्फ आकर्षित भएका छन् । सुन्तलाको पकेट क्षेत्र मानिने कास्कीको भरतपोखरीमा हाल सुन्तलाको उत्पादन हृवात्तै घटेपछि उनले विदेशी प्रजातीको पाउलोनिया लगाएका हुन् । उनले पहिलेको भरतपोखरी वडा नम्बर-४ र हाल लेखनाथ वडा नम्बर-१७ को बाघमारास्थित चैनपुर गाउँमा पाउलोनिया लगाएका छन् । दुई वर्षअघि पाउलोनिया खेती शुरु गरेका उनले हाल यसको व्यवसायिक रुपमा खेती सुरु गरेका छन् । ५/७ वटा विरुवाबाट शुरु गरेका उनले हाल चार हजार दुई सय विरुवा लगाइसकेका छन् । उनले भरतपोखरीमा एक हजार दुई सय र लेखनाथको देउरालीमा तीन हजार विरुवा रोपेका छन् । भरतपोखरीमा २० रोपनी क्षेत्रफलमा १२ सय विरुवा र लेखनाथको देउरालीमा ७० रोपनी जग्गामा तीन हजार विरुवा रोपेको उनले बताए । चाँडै दमौली साईडमा साथीहरुसँग मिलेर ५/७ हजार विरुवा रोप्ने तयारीमा रहेको उनको तयारी छ । पाउलोनिया लगाउनुअघि उनी सुन्तला खेती व्यवसायीक रुपमै गर्थे । हाल पाउलोनिया लगाएको पाखो बारिमा टन्न सुन्तलाको रुख थियो । तर पछिल्लो समय सुन्तालाको उत्पादन हृवात्तै घट्नुका साथै बोटपनि मर्न थालेपछि पाउलोनिया लगाएका हुन् । पाउलोनिया अमेरिका र चीनमा पाइने रुख हो । यसको विरुवा हरेक चार/चार मिटरको फरकमा लगाउनुपर्छ । यसलाई प्रशस्त मल आवश्यक पर्छ । मलको सन्तुलन मिलेको खण्डमा एक वर्षमै २० देखी ३० मिटरसम्म अग्लो हुने कृषक सुदनराज अधिकारीले बताए । हलक्क बढ्ने सलक्क परेको यो १० वर्षमा काट्न लायक रुख बन्छ । यो रुख फर्निचर बनाउनका लागि उपयुक्त काठ हुने अधिकारीको भनाई छ । काट्ने बेलासम्ममा ४० देखी ७० क्यू फिटसम्म काठ निस्कने बताइन्छ । जसलाई बेचेर प्रतिरुख एकदेखि डेढलाख सम्म आम्दानी हुने अधिकारीको भनाई छ । रुख राम्रोसँग हुर्केको खण्डमा पाउलोनियाको रुख दुई मिटर गोलाई र ७० फुटसम्म उचाई हुन्छ । भाइ सुरजराजसहित परिवारको सहयोगमा पाउलोनिया लगाएका अधिकारी परिवारले बेर्ना समेत आफैले उत्पादन गर्ने गरेका छन् । उनीहरुले आफूले लगाउने बेर्ना मात्र पुर्‍याएका छैनन्, उत्पादित बेर्ना अन्य कृषकलाई बेचेर प्रशस्त आम्दानी पनि गरेका छन् । गत बर्ष करीब २० हजार विरुवा उत्पादन गरेर बेचेका उनीहरुले यस वर्ष ४० हजार बेर्ना उत्पादन गरेका छन् । त्यसमध्ये अधिकांश बेचिसकेको सुदनराजले बताए । पाउलोनियाको एउटा बेर्नाको एक सयमा विक्री गर्ने गरेको उनले बताए । बेर्ना बेच्न थालेपछि कास्कीमा पाउलोनिया लगाउनेको संख्या बढेको उनको भनाइ छ । साथै पाउलोनियाका बारेमा बुझ्न मानिसहरु दिनहुँ आउने गरेपनि उनले बताए । एक वर्षमै विरुवा हलक्क बढेपछि अधिकारी परिवार दङ्ग परेका छन् । बेर्ना लगाउँदा २/४ वटा विरुवा मर्नुबाहेक अरु रोग नलाग्ने सुदनराजको दाबी छ । शुरुमा बेर्ना सार्दा ढुसीले मर्ने भएपनि औषधी प्रयोग गरेपछि त्यसबाट बचाउन सकिने उनले बताए । पाउलोनिया वातावरणको लागि पनि लाभदायक रहेको उनले बताए । अन्य वनस्पती भन्दा १० गुणा बढी कार्वनडाईअक्साइड ग्रहण गर्ने र १० गुणा नै बढी अक्सिजन फ्याँक्ने उनको दाबी छ ।",Employment,Economy,0.9849887,2584,431
"﻿२१ मंसिर, काठमाडौं । उद्योग मन्त्रालयले निजी बैंकहरुसँग समन्वय गरेर साना उद्योगीहरुलाई सहुलियतमा ऋण दिने तयारी थालेको छ । मंगलबार उद्योग मन्त्री नवीन्द्रराज जोशीले बैंकर्सहरुसँग सामुहिक छलफल गरी साना उद्योगी र कम आय भएका व्यक्तिलाई स्वरोजगार बनाउन बैंकिङ प्रवाहमा ल्याउन सकिने उपायका बारेमा छलफल गरेका हुन् । मन्त्री जोशीले सरकारले निजी बैंकहरुसँगको सहकार्यमा स्थानिय स्तरमा प्रवाह भएको ऋणको केही प्रतिशतको सुरक्षाको प्रत्याभूति गर्ने नीतिगत व्यवस्था गरेर भएपनि लगानी बढाउने वातावरण बनाउने बताए । उनले वैधानिक रुपमा लगानी गरेको उद्योगमा निजी बैंकहरुले सहज रुपमा लगानी गर्नुपर्ने धारणा पनि राखे । छलफलमा निजी बैंक सञ्चालकहरुले सरकारले स्पष्ट नीति नल्याएसम्म सहज रुपमा लगानी गर्न नसकिने बताए । उनीहरुले विगतमा सरकारले स्पष्ट नीति तय नगरी ल्याएका युवा स्वरोजगारलगायतका कार्यक्रम प्रभावकारी नभएको भन्दै बैंकहरुले सुरक्षाको प्रत्याभूति हुने कानुनी आधार नभएसम्म लगानी गर्न नसक्ने स्पष्ट पारे । बैंकर्सहरुले सरकारले नीतिगत स्पष्टता पार्न सके सबै नेपालीलाई बैंकिङ प्रवाहमा ल्याउन बैंक तथा बित्तीय संस्थाहरु सक्षम रहेको दावी पनि गरेका छन् ।",Economy,Bank,0.9843231,1032,153
"﻿ २३ भदौ, काठमाडौं । अब सैद्दान्तिक सहमति गरेर मर्जरमा नजाने बैंक तथा वित्तीय संस्थाहरुलाई कारवाही हुने भएको छ । मर्जरको सैद्दान्तिक सहमति गरेका संस्थाहरु प्रक्रियाबाट बाहिरिने प्रवृत्ति बढ्न थालेपनि राष्ट्र बैंकले यस्तो व्यवस्था गरेको हो । राष्ट्र बैंकले बिहीबार ‘बैंक तथा वित्तीय संस्था एक आपसमा गाभ्ने गाभिने सम्बन्धी विनियमावली- २०७३’ जारी गर्दै मर्जर प्रक्रिया तोड्ने संस्थाका सञ्चालकलाई अयोग्य घोषणा गरी ठूला अर्थात् आधारभूत सेयरधनीको शेयर खरिद बिक्री रोक्ने व्यवस्था गरेको छ । त्यसैगरी, नयाँ व्यवस्था अनुसार निश्चित समयसम्म राष्ट्र बैंकले मर्जर वा एक्विजिशन प्रक्रियामा सामेल हुन रोक लगाउने भएको छ । त्यस्ता संस्थालाई ३ वर्षसम्म शाखा खोल्न नदिइने र राष्ट्र बैंकले उपलब्ध गराउने सुविधा पनि उपलब्ध नगराउने नियमावलीमा उल्लेख छ । गाभ्ने/गाभिने वा प्राप्तिमा संलग्न संस्थाहरुबीच कुनै विवाद परेमा राष्ट्र बैङ्कले मध्यस्थता गर्न सक्ने र यस्तो मध्यस्थताको सम्बन्धमा राष्ट्र बैङ्कले दिएको निर्णय अन्तिम हुने बिनियमावलीमा उल्लेख छ । राष्ट्र बैंकले मर्जरसम्बन्धी नीति २०५८ र एक्वीजिसन सम्बन्धी नीति २०७० लाई संसोधन गर्दै दुबै नीतिलाई गाभेर ‘बैंक तथा वित्तीय संस्था एक आपसमा गाभ्ने गाभिने सम्बन्धी विनियमावली- २०७३’ ल्याएको हो । स्वाप रेसिसो गणना विधिलाई जटिल बनाइयो राष्ट्र बैंकले विनियमावलीले सेयर स्वाप रेसियो गणाना विधिलाई पनि थप बैज्ञानिक र जटिल बनाएको छ । नयाँ व्यवस्थाले मर्जर वा प्राप्तिमा जाने संस्थाहरुको सम्पत्तीको मूल्यांकन गर्दा संस्थाको ‘गुडविल’ समावेस गर्न नपाइने र प्रचलित बजार मूल्यमा आधारित हुनुपर्ने व्यवस्था गरेको हो । राष्ट्र बैंकले गाभ्ने गाभिने संस्थाहरुको गणना गरिएको समायोजित खुल सम्पतिलाई ७५ प्रतिशत, ब्यवसायिक मूल्यांकनलाई २० प्रतिशत र नेपाल स्टक एक्सचेन्जबाट प्रकाशित पछिल्लो १८० दिनको औषत कारोबार मूल्यको आधारमा तय हुने रकमलाई पाँच प्रतिशत भाराङ्क दिइ आधार नेटवर्थ गणना गर्नु पर्ने नयाँ व्यवस्थासमेत गरेको छ । आधार नेटवर्थ निस्किएपछि त्यसको आधारमा प्रति सेयर आधार नेटवर्थ गणना गर्नु पर्ने हुन्छ । यसरी गणना गरिएको प्रति सेयर आधार नेटवर्थमध्ये गाभ्ने वा गाभिने जुन संस्थाको वढी छ त्यसलाई एक बराबर मानी बाकी संस्थाहरुको हिसाव गरी सेयर स्वाप अनुपात गणना गर्नु पर्ने व्यवस्थासमेत गरिएको छ । त्यसैगरी, घरजग्गा, जमिन, सवारी साधन, मेशिनरीको मुल्यांकन गर्दा व्यवसायिक विज्ञहरुको प्रतिवेदनको आधारमा गर्नुपर्ने व्यवस्था गरिएको छ । राष्ट्र बैंकले गाभ्ने/गाभिने संस्थाहरुको गणना गरिएको समायोजित खुद सम्पतिलाई ७५ प्रतिशत, ब्यवसायिक मूल्यांकनलाई २० प्रतिशत र नेपाल स्टक एक्सचेन्जबाट प्रकाशित पछिल्लो १८० दिनको औषत कारोबार मूल्यको आधारमा तय हुने रकमलाई पाँच प्रतिशत भाराङ्क दिइ आधार नेटवर्थ गणना गर्नुपर्ने भएको छ । समस्याग्रस्त संस्था मर्जरका लागि अयोग्य विनियमावलीमा उल्लेख भएअनुसार समस्याग्रस्त अवस्थामा रहेका संस्था मर्जरका लागि अयोग्य हुनेछन् । त्यस्ता संस्थाहरु एक्वायरमा मात्रै सहमागि बन्न सक्नेछन्। तर, राष्ट्र बैंकले बैंकले समस्याग्रस्त संस्था समस्याग्रस्त संस्थाहरुलाई तल्लो वर्गको संस्थाले प्राप्ति गरी तल्लो वर्गमै रहन छुट दिएको छ । त्यसैगरी, मर्जर वा एक्विजिशन पश्चात् निष्कृय कर्जा अनुपात बढ्न गएमा पनि अवस्था हेरी राष्ट्र बैंकले तोकेका वित्तीय पहुँच न्यून रहेका जिल्लाहरुमा शाखा कार्यालय खोल्न छुट दिने विनियमावलीमा उल्लेख छ । गाभिएको वा प्राप्ति (एक्विजिशन) को कारण प्रमुख कार्यकारी अधिकृत वा कर्मचारीले तोकिएको सीमाभन्दा बढी शेयर धारण हुन गई पदमा बहाल रहन योग्य नहुने स्थिति सृजना भएमा समेत बाँकी कार्यकाल वा सेवा अवधि पूरा गर्न छुट दिइने छ ।",Economy,Bank,0.9841322,3168,477
"﻿एक दिन प्राध्यापक अरूण गुप्तोलाई छोरी पल्लवीले सोधिछन्, ‘बाबा! म बंगाली कि नेपाली? मेरो पहिचान के हो?’ त्रिभुवन विश्वविद्यालयको केन्द्रीय अंग्रेजी विभागमा वर्षौं समालोचना सिद्धान्त पढाएको अनुभव संगालेका गुप्तो दर्शनका गाह्रोभन्दा गाह्रो प्रश्नसँग जुधेका छन्। विश्वविद्यालयमा विद्यार्थीका निकै गह्रुङ्गा प्रश्न झेलेका छन्। सबैको चित्त बुझाउने प्रयास पनि गरेका छन्। छोरीको यो प्रश्न भने उनलाई सबभन्दा जटिल लाग्यो। गुप्तो परिवारको पुर्ख्यौली थलो बंगलादेश हो। समय क्रममा यो परिवार भारत...",Entertainment,Blog,0.9840015,485,68
"﻿४ असोज, काठमाडौं । तत्कालीन किष्ट बैंकका प्रबन्ध सञ्चालका कमलप्रसाद ज्ञवाली र उनकी श्रीमती गौरी खनाल ज्ञवालीलाई बैंकिङ कसूरमा दोषी ठहर गर्दै ३ वर्ष जेल सजायँ सुनाइएको छ । साथै १२ करोड ५० लाख रुपैयाँ जरिवाना तोकिएको छ । जम्को प्रकाशनका नाममा सिद्धार्थ डेभलपमेन्ट बैंकबाट साढे १२ करोड रुपैयाँ ऋण लिई कर्जा अपचलन गरेको अभियोगमा पुनरावेदन अदालत पाटनले मंगलबार ज्ञवाली दम्पत्तीलार्इ दोषी ठहर गरेको हो । न्यायाधीशद्धय डिल्लीप्रसाद आचार्य र प्रमोदकुमार श्रेष्ठको संयुक्त इजालसले ज्ञवाली दम्पतीलाई ३/३ वर्ष जेल सजाय र ६ करोड २५ लाख/६ करोड २५ लाख रुपैयाँ बिगो जरिवानाको फैसला सुनाएको छ । त्यसैगरी अदालतले सोही कर्जा प्रकरणमा संलग्न सिद्धार्थ डेभलपमेन्ट बैंकका कोमानन्द अधिकारीलाई ४ वर्ष जेल र ५ करोड ७४ लाख रुपैयाँ बिगो र धितो मुल्यांकनकर्ता किशोर ढकाललाई ४ वर्ष जेल र ५० लाख रुपैयाँ बिगो जरिवानाको फैसला सुनाएको छ । ६ करोड रुपैयाँ पर्ने सम्पत्ति धितो राखेर बैंकबाट ३ गुणा बढी कर्जा लिई त्यसको दुरुपयोग भएको भेटिएपछि केन्दि्रय अनुसन्धान व्यूरोले अढाई वर्षअघि मुद्दा दायर गरेको थियो । सीआइबीले मुद्दा दायर गरेपछि ज्ञवाली दम्पती फरार छन् । त्यतिमात्रै होइन, ज्ञावालीले तत्कालिन समयमा आफु प्रबन्ध सञ्चालक रहेको बैंक किष्टबाट पनि श्रीमति संलग्न रहेको जम्को प्रकाशनलाई १३ करोड रुपैयाँ ऋण प्रवाह गरी दुरुपयोग गरेका थिए । सो मुद्दामा भने अदालतबाट फैसला हुन बाँकी नै छ । तर, किष्ट बैंकलाई गाभेको प्रभु बैंकले भने ०७१ माघ १३ गते कमल ज्ञवालीको बैंकमा रहेको सेयर बेचेर सावाँ-व्याजसहित २३ करोड रुपैयाँ असूल गरिसकेको छ । तत्कालीन प्रभु विकास बैंकले ०७१ भदौ ३० गते किष्ट बैंकलाई गाभेर प्रभु बैंकको नाममा एकीकृत कारोबार गरेको थियो । गुल्मीको मध्यम वर्गिय परिवारमा जन्मेका ज्ञवालीले काठमाडौं आएर छोटो समयमै वित्तीय बजारमा चर्चा कमाएका थिए । किष्ट मर्चेण्ट बैंक खोलेर केही वाणिज्य बैंकमा स्तरोन्नति गरेका थिए । सञ्चालक र सीइओ दुबैको भूमिकामा रहेका उनले आफ्नी श्रीमति संलग्न रहेको संस्थालाई ऋण दिएर सो ऋण आफैंले घरजग्गा लगायतमा लगानी गरी दुरुपयोग गर्दै आएको तथ्य फेला परेपछि उनीविरुद्ध मुद्दा दर्ता भएको थियो । ज्ञवालीले जथाभावी ऋण प्रवाह गरेकै कारण तत्कालीन किष्ट बैंक डुब्ने स्थितिमा पुगेको थियो । तर, प्रभु समूहले सो बैंक खरिद गरी खराव कर्जा असुली थालेपछि किष्ट दुर्घटनाबाट जोगिएको थियो ।",Economy,Bank,0.98251855,2065,341
